Exercise_Name,muscle_gp
Rickshaw Carry,Forearms
Single-Leg Press,Quadriceps
Landmine twist,Abdominals
Weighted pull-up,Lats
T-Bar Row with Handle,Middle Back
Palms-down wrist curl over bench,Forearms
Atlas Stones,Lower Back
Dumbbell front raise to lateral raise,Shoulders
Clean from Blocks,Quadriceps
Incline Hammer Curls,Biceps
Straight-bar wrist roll-up,Forearms
Barbell glute bridge,Glutes
Clean and press,Shoulders
Triceps dip,Triceps
Dumbbell farmer's walk,Forearms
Palms-up wrist curl over bench,Forearms
Barbell Full Squat,Quadriceps
Barbell deficit deadlift,Lower Back
Barbell Deadlift,Hamstrings
Single-arm palm-in dumbbell shoulder press,Shoulders
Romanian Deadlift With Dumbbells,Hamstrings
Tire flip,Quadriceps
Clean Deadlift,Hamstrings
Elbow plank,Abdominals
Bottoms Up,Abdominals
Barbell back squat to box,Quadriceps
Clean and jerk,Shoulders
Single-arm kettlebell push-press,Shoulders
Push-press,Quadriceps
Suspended ab fall-out,Abdominals
Military press,Shoulders
Power snatch-,Quadriceps
Sumo deadlift,Hamstrings
Hang Clean,Quadriceps
Dumbbell V-Sit Cross Jab,Abdominals
Reverse Band Box Squat,Quadriceps
Standing palms-in shoulder press,Shoulders
Standing cable low-to-high twist,Abdominals
Decline EZ-bar skullcrusher,Triceps
Standing behind-the-back wrist curl,Forearms
Seated finger curl,Forearms
Wide-grip barbell curl,Biceps
Dumbbell spell caster,Abdominals
Dumbbell floor press,Triceps
Lying Face Down Plate Neck Resistance,Neck
Pullups,Lats
Decline reverse crunch,Abdominals
Dumbbell Bench Press,Chest
Jumping rope,Quadriceps
Seated barbell shoulder press,Shoulders
EZ-bar spider curl,Biceps
Smith machine shrug,Traps
Smith Machine Calf Raise,Calves
Romanian Deadlift from Deficit,Hamstrings
Power Snatch,Hamstrings
Pushups,Chest
Barbell walking lunge,Quadriceps
Front Squats With Two Kettlebells,Quadriceps
Spider crawl,Abdominals
Power Clean from Blocks,Hamstrings
Single Leg Push-off,Quadriceps
Hip Circles (Prone),Abductors
Reverse-grip bent-over row,Middle Back
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms
Back extension,Lower Back
Close-grip bench press,Chest
Cocoons,Abdominals
Cross-Body Crunch,Abdominals
Dumbbell Flyes,Chest
Hammer Curls,Biceps
Incline dumbbell bench press,Chest
Low-cable cross-over,Chest
Single-arm high-cable side bend,Abdominals
Seated Dumbbell Press,Shoulders
Standing dumbbell shoulder press,Shoulders
Single Leg Push-off,Quadriceps
Hip Circles (Prone),Abductors
Reverse-grip bent-over row,Middle Back
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms
Back extension,Lower Back
Close-grip bench press,Chest
Cocoons,Abdominals
Cross-Body Crunch,Abdominals
Dumbbell Flyes,Chest
Hammer Curls,Biceps
Incline dumbbell bench press,Chest
Seated Dumbbell Press,Shoulders
Standing dumbbell shoulder press,Shoulders
EZ-Bar Curl,Biceps
Olympic Squat,Quadriceps
Natural Glute Ham Raise,Hamstrings
Axle Deadlift,Lower Back
Zottman Curl,Biceps
Glute ham raise-,Hamstrings
Single-arm lateral raise,Shoulders
Power Partials,Shoulders
Leverage Shrug,Traps
Cable V-bar push-down,Triceps
Wrist Roller,Forearms
Incline dumbbell reverse fly,Shoulders
Stair climber,Quadriceps
Elbow-to-knee crunch,Abdominals
Kettlebell Pistol Squat,Quadriceps
Overhead dumbbell front raise,Shoulders
Biceps curl to shoulder press,Biceps
Weighted bench dip,Triceps
Barbell Hip Thrust,Glutes
Forward lunge,Quadriceps
Barbell Bench Press - Medium Grip,Chest
Chest dip,Chest
Seated dumbbell shoulder press,Shoulders
Barbell Curl,Biceps
EZ-Bar Skullcrusher,Triceps
One-Arm Dumbbell Row,Middle Back
Alternating standing shoulder press,Shoulders
Concentration curl,Biceps
Decline Crunch,Abdominals
Decline Dumbbell Flyes,Chest
Single-arm incline rear delt raise,Shoulders
Alternating dumbbell front raise,Shoulders
Hanging toes-to-bar,Abdominals
Narrow-stance squat,Quadriceps
Kneeling cable oblique crunch,Abdominals
Reverse Grip Triceps Pushdown,Triceps
Bear crawl sled drag,Quadriceps
Rocky Pull-Ups/Pulldowns,Lats
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders
Box Squat with Bands,Quadriceps
Flexor Incline Dumbbell Curls,Biceps
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms
Thigh adductor,Adductors
Machine Bicep Curl,Biceps
Seated Palms-Down Barbell Wrist Curl,Forearms
Single-arm incline rear delt raise,Shoulders
Alternating dumbbell front raise,Shoulders
Hanging toes-to-bar,Abdominals
Narrow-stance squat,Quadriceps
Kneeling cable oblique crunch,Abdominals
Reverse Grip Triceps Pushdown,Triceps
Bear crawl sled drag,Quadriceps
Rocky Pull-Ups/Pulldowns,Lats
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders
Box Squat with Bands,Quadriceps
Flexor Incline Dumbbell Curls,Biceps
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms
Machine Bicep Curl,Biceps
Seated Palms-Down Barbell Wrist Curl,Forearms
Car driver,Shoulders
Alternating Deltoid Raise,Shoulders
Hanging Oblique Knee Raise,Abdominals
Bodyweight Flyes,Chest
Standing Calf Raises,Calves
Push-Ups - Close Triceps Position,Triceps
One-Arm Long Bar Row,Middle Back
Overhead cable curl,Biceps
Single-dumbbell front raise,Shoulders
Incline cable chest fly,Chest
Single-leg depth squat,Quadriceps
Dumbbell suitcase crunch,Abdominals
Plate Twist,Abdominals
Single-leg cable hip extension,Glutes
Weighted Jump Squat,Quadriceps
Squat with Chains,Quadriceps
Gorilla Chin/Crunch,Abdominals
Kneeling cable triceps extension,Triceps
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals
Bicycling,Quadriceps
Arnold press,Shoulders
Weighted Crunches,Abdominals
Single-arm cable triceps extension,Triceps
Barbell roll-out,Abdominals
Kneeling cable crunch,Abdominals
Exercise Ball Pull-In,Abdominals
Hanging leg raise,Abdominals
Barbell Ab Rollout - On Knees,Abdominals
Barbell Squat,Quadriceps
Decline barbell bench press,Chest
Dumbbell Bicep Curl,Biceps
Dumbbell Goblet Squat,Quadriceps
Dumbbell squat,Quadriceps
Barbell front squat,Quadriceps
Close-grip pull-down,Lats
Triceps Pushdown - Rope Attachment,Triceps
Side-to-side box skip,Quadriceps
Smith machine shoulder press,Shoulders
Seated triceps press,Triceps
Dumbbell Lying Supination,Forearms
Pull-up,Lats
Wide-grip bench press,Chest
Close-grip EZ-bar curl,Biceps
T-Bar Row,Middle Back
Bent Over Two-Arm Long Bar Row,Middle Back
Muscle Up,Lats
Machine shoulder press,Shoulders
Incline EZ-bar skullcrusher,Triceps
Alternating sit-through with crunch,Middle Back
Wide-Grip Decline Barbell Bench Press,Chest
Rower,Middle Back
Snatch Deadlift,Hamstrings
Front Plate Raise,Shoulders
Decline Close-Grip Bench To Skull Crusher,Triceps
Lying Leg Curls,Hamstrings
Cross-body hammer curl,Biceps
Shotgun row,Lats
Ab Roller,Abdominals
Reverse-grip incline dumbbell bench press,Chest
Leg Press,Quadriceps
Stiff-Legged Dumbbell Deadlift,Hamstrings
Cable Crossover,Chest
Barbell Incline Bench Press Medium-Grip,Chest
Incline Dumbbell Flyes,Chest
Seated Cable Rows,Middle Back
Tricep Dumbbell Kickback,Triceps
Otis-Up,Abdominals
Mountain climber,Abdominals
Ab bicycle,Abdominals
Barbell forward lunge,Quadriceps
3/4 sit-up,Abdominals
Exercise ball leg curl,Hamstrings
Glute bridge,Glutes
Close-Grip Front Lat Pulldown,Lats
Dip Machine,Triceps
Incline dumbbell row,Middle Back
Dumbbell Lunges,Quadriceps
Single-arm standing shoulder press,Shoulders
Preacher Curl,Biceps
Reverse crunch,Abdominals
Standing Dumbbell Triceps Extension,Triceps
Elliptical trainer,Quadriceps
Bodyweight squat,Quadriceps
Bent Over Two-Dumbbell Row With Palms In,Middle Back
Hex-bar deadlift,Quadriceps
Narrow-stance leg press,Quadriceps
Single-leg glute bridge,Glutes
Barbell Curls Lying Against An Incline,Biceps
Standing Hip Circles,Abductors
Clam,Abductors
Narrow Stance Hack Squats,Quadriceps
Seated Close-Grip Concentration Barbell Curl,Biceps
Dumbbell Lying Pronation,Forearms
Smith machine box squat,Quadriceps
Drop Push,Chest
Upside-down pull-up,Middle Back
Reverse Barbell Preacher Curls,Biceps
Close-grip EZ-bar bench press,Chest
Incline Push-Up,Chest
Hyperextensions With No Hyperextension Bench,Lower Back
Dumbbell front raise,Shoulders
Parallel Bar Dip,Triceps
Stairmaster,Quadriceps
Double Leg Butt Kick,Quadriceps
Groiners,Adductors
Neck Press,Chest
Broad jump,Quadriceps
Machine Squat,Quadriceps
V-bar pull-up,Lats
Ring dip,Triceps
Standing One-Arm Cable Curl,Biceps
Burpee,Quadriceps
Double-arm triceps kick-back,Triceps
Dumbbell reverse lunge,Quadriceps
Seated Calf Raise,Calves
Standing dumbbell shrug,Traps
Calf Press On The Leg Press Machine,Calves
Barbell step-up,Quadriceps
Feet-elevated bench dip,Triceps
Bent Over Barbell Row,Middle Back
Crunches,Abdominals
Dumbbell Alternate Bicep Curl,Biceps
Bent-over dumbbell rear delt row,Shoulders
External Rotation with Cable,Shoulders
Handstand push-up,Shoulders
Single-arm dumbbell preacher curl,Biceps
Step-up with knee raise,Glutes
Smith machine back squat,Quadriceps
Incline dumbbell front raise,Shoulders
Alternate Incline Dumbbell Curl,Biceps
Standing dumbbell upright row,Traps
Single-arm cable front raise,Shoulders
Two-Arm Kettlebell Military Press,Shoulders
Incline cable chest press,Chest
Rope climb,Lats
Single-arm dumbbell preacher curl,Biceps
Step-up with knee raise,Glutes
Incline dumbbell front raise,Shoulders
Rope climb,Lats
Trail Running/Walking,Quadriceps
Standing Bradford press,Shoulders
Neutral-grip dumbbell bench press,Chest
Cable Chest Press,Chest
Standing concentration curl,Biceps
Wide-Grip Rear Pull-Up,Lats
Kettlebell pass-through lunge,Hamstrings
Hands-elevated push-up,Chest
Deadlift with Bands,Lower Back
Straight-arm rope pull-down,Lats
Barbell Shoulder Press,Shoulders
Power clean,Hamstrings
Hang Snatch,Hamstrings
Kettlebell sumo deadlift high pull,Traps
Calf-Machine Shoulder Shrug,Traps
Bench Press - Powerlifting,Triceps
Rocking Standing Calf Raise,Calves
Goblet Squat,Quadriceps
Behind-the-head skullcrusher,Triceps
Seated palms-up wrist curl,Forearms
Reverse Cable Curl,Biceps
Dumbbell side bend,Abdominals
Lat pull-down,Lats
Side Lateral Raise,Shoulders
Alternating incline dumbbell biceps curl,Biceps
Kettlebell One-Legged Deadlift,Hamstrings
Alternate Hammer Curl,Biceps
Decline Push-Up,Chest
Captain's chair knee raise,Abdominals
Triceps Pushdown,Triceps
Low cable overhead triceps extension,Triceps
Single-arm cable cross-over,Chest
Seated dumbbell biceps curl,Biceps
Battle ropes,Shoulders
Dead bug reach,Abdominals
Deadlift with Chains,Lower Back
Rope Crunch,Abdominals
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms
Kettlebell thruster,Glutes
Single-Arm Push-Up,Chest
Band Hip Adductions,Adductors
Single-arm kettlebell clean,Hamstrings
Preacher Hammer Dumbbell Curl,Biceps
Alternating Kettlebell Press,Shoulders
Split Squat with Dumbbells,Quadriceps
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps
Standing Olympic Plate Hand Squeeze,Forearms
Sledgehammer swing,Abdominals
Kneeling Squat,Glutes
Single-arm kettlebell snatch,Shoulders
Close-grip barbell curl,Biceps
Box jump,Hamstrings
Standing cable crunch,Abdominals
Leverage Incline Chest Press,Chest
Standing barbell overhead triceps extension,Triceps
Lying cable triceps extension,Triceps
Kettlebell Turkish Get-Up (Squat style),Shoulders
Crunch - Hands Overhead,Abdominals
Cable Internal Rotation,Shoulders
Leg Extensions,Quadriceps
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps
Standing Olympic Plate Hand Squeeze,Forearms
Sledgehammer swing,Abdominals
Single-arm kettlebell snatch,Shoulders
Box jump,Hamstrings
Standing cable crunch,Abdominals
Standing barbell overhead triceps extension,Triceps
Lying cable triceps extension,Triceps
Close push-up to wide push-up,Chest
Single-arm dumbbell triceps extension,Triceps
Butterfly,Chest
Decline dumbbell bench press,Chest
V-up,Abdominals
Seated face pull,Shoulders
Barbell Bulgarian split squat,Quadriceps
Reverse-grip lat pull-down,Lats
Standing Biceps Cable Curl,Biceps
Single-arm cable seated row,Middle Back
Single-arm kettlebell row,Chest
Scissors Jump,Quadriceps
Wide Stance Stiff Legs,Hamstrings
Rack Pull with Bands,Lower Back
Drag curl,Biceps
Close push-up to wide push-up,Chest
Single-arm dumbbell triceps extension,Triceps
Butterfly,Chest
Seated face pull,Shoulders
Rack Pull with Bands,Lower Back
Drag curl,Biceps
Hang Clean - Below the Knees,Quadriceps
Decline oblique crunch,Abdominals
Dumbbell external shoulder rotation,Shoulders
Single-arm bent-over cable rear delt fly,Shoulders
Clean,Hamstrings
Single-arm incline lateral raise,Shoulders
Decline bar press sit-up,Abdominals
Barbell rear delt bent-over row,Shoulders
Calf Press,Calves
Kettlebell alternating renegade row,Middle Back
Bosu Ball Cable Crunch With Side Bends,Abdominals
Stomach Vacuum,Abdominals
Hammer Grip Incline DB Bench Press,Chest
Wide-grip hands-elevated push-up,Chest
Decline Dumbbell Triceps Extension,Triceps
Jumping jack-,Quadriceps
Push-Ups With Feet On An Exercise Ball,Chest
Seated cable shoulder press,Shoulders
Barbell hack squat,Quadriceps
Feet-elevated push-up,Chest
Good Morning,Hamstrings
Leverage Chest Press,Chest
Gironda Sternum Chins,Lats
Exercise ball crunch,Abdominals
Seated rear delt fly,Shoulders
Standing face pull,Shoulders
Glute Ham Raise,Hamstrings
Russian twist,Abdominals
Seated Flat Bench Leg Pull-In,Abdominals
Barbell shrug,Traps
Seated Flat Bench Leg Pull-In,Abdominals
Barbell shrug,Traps
Standing cable rear delt row,Shoulders
Flat Bench Lying Leg Raise,Abdominals
Hack Squat,Quadriceps
Dumbbell skullcrusher,Triceps
Man-maker,Middle Back
Pallof press,Abdominals
Knees tucked crunch,Abdominals
Straight-arm dumbbell pull-over,Chest
Arms-crossed jump squat,Quadriceps
Decline Smith Press,Chest
Band Skull Crusher,Triceps
Side Wrist Pull,Shoulders
Isometric Wipers,Chest
Skating,Quadriceps
Cable cross-over,Chest
Treadmill running,Quadriceps
One Arm Pronated Dumbbell Triceps Extension,Triceps
Single-arm kettlebell clean and jerk,Shoulders
Side To Side Chins,Lats
Incline Dumbbell Bench With Palms Facing In,Chest
Seated palms-down wrist curl,Forearms
Standing leg swing,Hamstrings
Clock push-up,Chest
Machine seated row,Lats
Lying Face Up Plate Neck Resistance,Neck
Weighted sissy squat,Quadriceps
Jog In Place,Quadriceps
Dumbbell Raise,Shoulders
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms
One Arm Supinated Dumbbell Triceps Extension,Triceps
Jog In Place,Quadriceps
