Exercise_Name,muscle_gp
Rickshaw Carry,Forearms
Single-Leg Press,Quadriceps
Landmine twist,Abdominals
Weighted pull-up,Lats
T-Bar Row with Handle,Middle Back
Palms-down wrist curl over bench,Forearms
Atlas Stones,Lower Back
Dumbbell front raise to lateral raise,Shoulders
Clean from Blocks,Quadriceps
Incline Hammer Curls,Biceps
Straight-bar wrist roll-up,Forearms
Barbell glute bridge,Glutes
Clean and press,Shoulders
Triceps dip,Triceps
Dumbbell farmer's walk,Forearms
Palms-up wrist curl over bench,Forearms
Barbell Full Squat,Quadriceps
Barbell deficit deadlift,Lower Back
Barbell Deadlift,Hamstrings
Single-arm palm-in dumbbell shoulder press,Shoulders
Romanian Deadlift With Dumbbells,Hamstrings
Tire flip,Quadriceps
Clean Deadlift,Hamstrings
Elbow plank,Abdominals
Bottoms Up,Abdominals
Barbell back squat to box,Quadriceps
Clean and jerk,Shoulders
Single-arm kettlebell push-press,Shoulders
Push-press,Quadriceps
Suspended ab fall-out,Abdominals
Military press,Shoulders
Power snatch-,Quadriceps
Sumo deadlift,Hamstrings
